Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude
"Ortigas CBD, Pasig","11,379,200",1,1,48,14.583771,121.059675
"Ortigas CBD, Pasig","13,096,600",1,1,52,14.583771,121.059675
"San Antonio, Pasig","42,559,000",2,2,114,14.588377,121.059897
"Ortigas CBD, Pasig","17,530,800",2,2,73,14.583771,121.059675
"San Antonio, Pasig","41,821,000",2,2,114,14.588377,121.059897
"Ugong, Pasig","15,692,000",1,1,58,14.588882,121.079016
"Ugong, Pasig","15,695,000",1,1,56,14.588882,121.079016
"Ortigas CBD, Pasig","11,088,000",1,1,47,14.583771,121.059675
"Ortigas CBD, Pasig","12,962,200",1,1,52,14.583771,121.059675
"Oranbo, Pasig","13,323,000",1,1,46,14.575822,121.064324
"Ugong, Pasig","15,422,000",1,1,58,14.588882,121.079016
"Oranbo, Pasig","37,172,000",2,2,106,14.575822,121.064324
"Ugong, Pasig","26,008,000",2,1,89,14.588882,121.079016
"Ortigas CBD, Pasig","11,379,200",1,1,48,14.583771,121.059675
"Ortigas CBD, Pasig","17,530,800",2,2,73,14.583771,121.059675
"San Antonio, Pasig","41,821,000",2,2,114,14.588377,121.059897
"San Antonio, Pasig","42,559,000",2,2,114,14.588377,121.059897
"San Antonio, Pasig","27,110,000",1,1,70,14.588377,121.059897
"Ugong, Pasig","27,083,000",2,1,89,14.588882,121.079016
"Oranbo, Pasig","12,377,000",1,1,45,14.575822,121.064324
"San Antonio, Pasig","27,961,000",1,1,69,14.588377,121.059897
"Ortigas CBD, Pasig","11,088,000",1,1,47,14.583771,121.059675
"Ortigas CBD, Pasig","12,230,400",1,1,57,14.583771,121.059675
"San Antonio, Pasig","42,305,000",2,2,114,14.588377,121.059897
"Ugong, Pasig","26,008,000",2,1,89,14.588882,121.079016
"Oranbo, Pasig","23,718,000",1,1,67,14.575822,121.064324
"Oranbo, Pasig","12,265,000",1,1,45,14.575822,121.064324
"Oranbo, Pasig","20,739,000",1,1,65,14.575822,121.064324
"Ortigas CBD, Pasig","15,672,600",1,1,59,14.583771,121.059675
"Ortigas CBD, Pasig","17,363,800",1,1,64,14.583771,121.059675
"Oranbo, Pasig","33,272,000",2,2,104,14.575822,121.064324
"Ortigas CBD, Pasig","11,323,200",1,1,48,14.583771,121.059675
"Ugong, Pasig","27,083,000",2,1,89,14.588882,121.079016
"Oranbo, Pasig","12,377,000",1,1,45,14.575822,121.064324
"Oranbo, Pasig","21,856,000",1,1,67,14.575822,121.064324
"San Antonio, Pasig","44,555,000",2,2,109,14.588377,121.059897
"Oranbo, Pasig","32,421,000",2,2,104,14.575822,121.064324
"Ortigas CBD, Pasig","11,177,600",1,1,44,14.583771,121.059675
"Oranbo, Pasig","57,210,000",3,3,152,14.575822,121.064324
"Ortigas CBD, Pasig","17,912,600",2,2,74,14.583771,121.059675
"Ugong, Pasig","27,178,000",2,1,89,14.588882,121.079016
"Ortigas CBD, Pasig","11,267,200",1,1,44,14.583771,121.059675
"Ortigas CBD, Pasig","11,188,800",1,1,52,14.583771,121.059675
"Oranbo, Pasig","31,226,000",2,2,104,14.575822,121.064324
"Oranbo, Pasig","20,313,000",1,1,65,14.575822,121.064324
"Ugong, Pasig","15,567,000",1,1,56,14.588882,121.079016
"San Antonio, Pasig","26,593,000",1,1,74,14.588377,121.059897
"Oranbo, Pasig","31,734,000",2,2,104,14.575822,121.064324
"Oranbo, Pasig","11,971,000",1,1,41,14.575822,121.064324
"Ortigas CBD, Pasig","24,856,700",3,2,102,14.583771,121.059675
"Ortigas CBD, Pasig","12,488,000",1,1,58,14.583771,121.059675
"Ortigas CBD, Pasig","11,345,600",1,1,48,14.583771,121.059675
"Ortigas CBD, Pasig","11,144,000",1,1,44,14.583771,121.059675
"Ortigas CBD, Pasig","12,196,800",1,1,57,14.583771,121.059675
"Ortigas CBD, Pasig","13,209,600",1,1,52,14.583771,121.059675
"Oranbo, Pasig","40,006,000",2,2,110,14.575822,121.064324
"Ortigas CBD, Pasig","11,188,800",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","11,144,000",1,1,44,14.583771,121.059675
"Ortigas CBD, Pasig","12,835,200",1,1,49,14.583771,121.059675
"San Antonio, Pasig","28,366,000",1,1,69,14.588377,121.059897
"Oranbo, Pasig","22,557,000",1,1,66,14.575822,121.064324
"Oranbo, Pasig","33,871,000",2,2,106,14.575421,121.063867
"Ortigas CBD, Pasig","11,144,000",1,1,44,14.583771,121.059675
"Ortigas CBD, Pasig","17,912,600",2,2,74,14.583771,121.059675
"Ortigas CBD, Pasig","14,474,200",1,1,59,14.583771,121.059675
"Ugong, Pasig","25,686,000",2,1,89,14.588882,121.079016
"Oranbo, Pasig","33,574,000",2,2,106,14.575822,121.064324
"Ortigas CBD, Pasig","12,488,000",1,1,58,14.583771,121.059675
"Ortigas CBD, Pasig","12,196,800",1,1,57,14.583771,121.059675
"Ortigas CBD, Pasig","11,345,600",1,1,48,14.583771,121.059675
"Ortigas CBD, Pasig","11,144,000",1,1,44,14.583771,121.059675
"Ortigas CBD, Pasig","13,209,600",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","10,752,000",1,1,46,14.583771,121.059675
"Oranbo, Pasig","31,821,000",2,2,104,14.575822,121.064324
"Ortigas CBD, Pasig","11,020,800",1,1,47,14.583771,121.059675
"Oranbo, Pasig","33,871,000",2,2,106,14.575421,121.063867
"Oranbo, Pasig","22,557,000",1,1,66,14.575822,121.064324
"San Antonio, Pasig","42,048,000",2,2,114,14.588377,121.059897
"Oranbo, Pasig","31,569,000",2,2,104,14.575822,121.064324
"San Antonio, Pasig","28,366,000",1,1,69,14.588377,121.059897
"Ortigas CBD, Pasig","12,835,200",1,1,49,14.583771,121.059675
"Oranbo, Pasig","40,006,000",2,2,110,14.575822,121.064324
"Ortigas CBD, Pasig","11,188,800",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","11,144,000",1,1,44,14.583771,121.059675
"San Antonio, Pasig","26,951,000",1,1,70,14.588377,121.059897
"Oranbo, Pasig","42,394,000",2,2,116,14.575822,121.064324
"Ortigas CBD, Pasig","11,166,400",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","11,300,800",1,1,52,14.583771,121.059675
"Ugong, Pasig","46,903,000",2,1,137,14.588882,121.079016
"San Antonio, Pasig","26,777,000",1,1,70,14.588377,121.059897
"Ugong, Pasig","25,471,000",2,1,89,14.588882,121.079016
"Pinagbuhatan, Pasig","5,008,864",2,1,37,14.555535,121.090095
"Ortigas CBD, Pasig","10,998,400",1,1,44,14.583771,121.059675
"Ortigas CBD, Pasig","12,196,800",1,1,57,14.583771,121.059675
"Ortigas CBD, Pasig","11,144,000",1,1,44,14.583771,121.059675
"Ortigas CBD, Pasig","11,334,400",1,1,52,14.583771,121.059675
"Ugong, Pasig","56,507,000",2,1,164,14.588882,121.079016
"Ortigas CBD, Pasig","24,586,800",3,2,102,14.583771,121.059675
"Ugong, Pasig","27,298,000",2,1,89,14.588882,121.079016
"San Antonio, Pasig","28,012,000",1,1,69,14.588377,121.059897
"Oranbo, Pasig","21,987,000",1,1,67,14.575822,121.064324
"Ortigas CBD, Pasig","18,013,400",2,2,74,14.583771,121.059675
"Oranbo, Pasig","22,863,000",1,1,70,14.575822,121.064324
"Ugong, Pasig","56,507,000",2,1,164,14.588882,121.079016
"Ugong, Pasig","27,298,000",2,1,89,14.588882,121.079016
"Ortigas CBD, Pasig","24,586,800",3,2,102,14.583771,121.059675
"San Antonio, Pasig","44,002,000",2,2,109,14.588377,121.059897
"Oranbo, Pasig","56,826,000",3,3,151,14.575822,121.064324
"Ortigas CBD, Pasig","11,088,000",1,1,47,14.583771,121.059675
"Ugong, Pasig","8,957,000",1,1,35,14.588882,121.079016
"Ugong, Pasig","15,972,000",1,1,58,14.588882,121.079016
"Ugong, Pasig","16,283,000",1,1,57,14.588882,121.079016
"Oranbo, Pasig","11,571,000",1,1,39,14.575822,121.064324
"San Antonio, Pasig","28,012,000",1,1,69,14.588377,121.059897
"San Antonio, Pasig","28,080,000",1,1,69,14.588377,121.059897
"San Antonio, Pasig","27,106,000",1,1,70,14.588377,121.059897
"San Antonio, Pasig","26,767,000",1,1,74,14.588377,121.059897
"Oranbo, Pasig","22,974,000",1,1,67,14.575822,121.064324
"Oranbo, Pasig","21,596,000",1,1,66,14.575822,121.064324
"Oranbo, Pasig","11,793,000",1,1,39,14.575822,121.064324
"Ortigas CBD, Pasig","12,263,600",1,1,48,14.583771,121.059675
"Ortigas CBD, Pasig","14,103,600",1,1,58,14.583771,121.059675
"Oranbo, Pasig","22,749,000",1,1,66,14.575822,121.064324
"Ortigas CBD, Pasig","17,743,600",2,2,74,14.583771,121.059675
"Oranbo, Pasig","21,987,000",1,1,67,14.575822,121.064324
"Ortigas CBD, Pasig","17,855,600",2,2,74,14.583771,121.059675
"Ortigas CBD, Pasig","11,619,300",1,1,43,14.583771,121.059675
"Ortigas CBD, Pasig","12,230,400",1,1,57,14.583771,121.059675
"Ortigas CBD, Pasig","10,752,000",1,1,46,14.583771,121.059675
"Ortigas CBD, Pasig","11,110,400",1,1,44,14.583771,121.059675
"Oranbo, Pasig","23,671,000",1,1,70,14.575822,121.064324
"San Antonio, Pasig","27,006,000",1,1,74,14.588377,121.059897
"Ugong, Pasig","26,116,000",2,1,89,14.588882,121.079016
"Ortigas CBD, Pasig","11,110,400",1,1,44,14.583771,121.059675
"San Antonio, Pasig","46,469,000",2,2,114,14.588377,121.059897
"Ugong, Pasig","27,512,000",2,1,89,14.588882,121.079016
"Ugong, Pasig","8,323,000",1,1,35,14.588882,121.079016
"Oranbo, Pasig","23,188,000",1,1,67,14.575822,121.064324
"Oranbo, Pasig","23,671,000",1,1,70,14.575822,121.064324
"San Antonio, Pasig","27,006,000",1,1,74,14.588377,121.059897
"Ugong, Pasig","26,116,000",2,1,89,14.588882,121.079016
"Oranbo, Pasig","12,415,000",1,1,45,14.575822,121.064324
"Ugong, Pasig","25,901,000",2,1,89,14.588882,121.079016
"San Antonio, Pasig","26,577,000",1,1,74,14.588377,121.059897
"Oranbo, Pasig","22,863,000",1,1,70,14.575822,121.064324
"Ortigas CBD, Pasig","11,334,400",1,1,44,14.583771,121.059675
"Ortigas CBD, Pasig","11,088,000",1,1,47,14.583771,121.059675
"Ortigas CBD, Pasig","10,752,000",1,1,46,14.583771,121.059675
"Ortigas CBD, Pasig","24,586,800",3,2,102,14.583771,121.059675
"Ortigas CBD, Pasig","14,474,200",1,1,59,14.583771,121.059675
"Oranbo, Pasig","35,907,000",2,2,106,14.575822,121.064324
"Ortigas CBD, Pasig","11,166,400",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","12,196,800",1,1,57,14.583771,121.059675
"Ortigas CBD, Pasig","12,770,800",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","14,587,200",1,1,59,14.583771,121.059675
"Ortigas CBD, Pasig","11,334,400",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","13,108,800",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","11,166,400",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","13,096,600",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","12,488,000",1,1,58,14.583771,121.059675
"Ortigas CBD, Pasig","11,054,400",1,1,47,14.583771,121.059675
"Ortigas CBD, Pasig","14,474,200",1,1,59,14.583771,121.059675
"Ortigas CBD, Pasig","24,586,800",3,2,102,14.583771,121.059675
"Ortigas CBD, Pasig","11,334,400",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","11,166,400",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","12,196,800",1,1,57,14.583771,121.059675
"Oranbo, Pasig","35,907,000",2,2,106,14.575822,121.064324
"Ortigas CBD, Pasig","22,111,600",3,2,98,14.583771,121.059675
"Oranbo, Pasig","34,599,000",2,2,106,14.575822,121.064324
"Ortigas CBD, Pasig","12,770,800",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","14,587,200",1,1,59,14.583771,121.059675
"Ortigas CBD, Pasig","10,752,000",1,1,46,14.583771,121.059675
"San Antonio, Pasig","42,157,000",2,2,114,14.588377,121.059897
"Ortigas CBD, Pasig","13,096,600",1,1,52,14.583771,121.059675
"Pinagbuhatan, Pasig","5,008,864",2,1,37,14.555535,121.090095
"San Antonio, Pasig","27,332,000",1,1,70,14.588377,121.059897
"San Antonio, Pasig","27,144,000",1,1,70,14.588377,121.059897
"Ortigas CBD, Pasig","11,267,200",1,1,52,14.583771,121.059675
"San Antonio, Pasig","26,774,000",1,1,74,14.588377,121.059897
"San Antonio, Pasig","45,954,000",2,2,114,14.588377,121.059897
"San Antonio, Pasig","27,462,000",1,1,70,14.588377,121.059897
"San Antonio, Pasig","26,708,000",1,1,70,14.588377,121.059897
"Oranbo, Pasig","52,075,000",3,3,147,14.575822,121.064324
"Oranbo, Pasig","52,075,000",3,3,147,14.575822,121.064324
"Oranbo, Pasig","35,996,000",2,2,106,14.575822,121.064324
"Ortigas CBD, Pasig","13,108,800",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","12,488,000",1,1,58,14.583771,121.059675
"Ortigas CBD, Pasig","13,096,600",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","11,166,400",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","11,054,400",1,1,47,14.583771,121.059675
"Oranbo, Pasig","31,971,000",2,2,104,14.575822,121.064324
"Oranbo, Pasig","36,157,000",2,2,106,14.575822,121.064324
"Oranbo, Pasig","32,474,000",2,2,104,14.575822,121.064324
"San Antonio, Pasig","27,646,000",1,1,70,14.588377,121.059897
"Oranbo, Pasig","33,272,000",2,2,106,14.575822,121.064324
"Ortigas CBD, Pasig","13,096,600",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","12,995,800",1,1,52,14.583771,121.059675
"Ortigas CBD, Pasig","17,641,900",2,2,74,14.583771,121.059675
"Ortigas CBD, Pasig","14,632,000",1,1,59,14.583771,121.059675
"San Antonio, Pasig","41,924,000",2,2,114,14.588377,121.059897
"Ortigas CBD, Pasig","11,054,400",1,1,47,14.583771,121.059675